"","X","id","date","Time_today","numberof_Timesattend","Total_membersAttend","Attend_2000","Attend_1999","Event1st_mostimportant","Event2nd_mostimportant","Event3rd_mostimportant","Event4th_mostimportant","Event5th_mostimportant","show_concocrane","show_heatherSmith","show_trooper","show_prairieOyster","show_skarecrow","show_widemouthmason","show_mcMaster&James","show_leahy","show_ritachairelli","show_mollyJohnson","Spent_carnival","Spent_food","Spent_beerwine","Spent_vendoritems","Spent_buckforBands","Spend_moretoday","Ten_admissionattend","AttendingSpent_merchandise","AttendingSpent_food","AttendingSpent_otherpurposes","Town","Total_Householdmembers","Education_Level","Age_range","Occupation","Hosehold_Income2000","Event1st_mostimportant1","Event2nd_mostimportant1","Event3rd_mostimportant1","Event4th_mostimportant1","Event5th_mostimportant1","Spent_Carnival1","Spent_food1","Spent_Beer&Wine1","Spent_Vendors1","Spent_Buck for Bands1","Spend_more1","Spent_Downtownmerch","Spent_Downtownfood","Spent_Downtownother","Ten_admissionattend1","House_members","Age_Range"
"1",1,1,14,1,NA,4,"Yes","Yes",3,2,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,13,12.8,16,2.8,20,3,26,10,22,"Burlington",4,"Some university","D-30-39","H-Office worker","B-$60,000-$79,999","Stage shows","Carnival","Food,bear,wine","Parade","Vendors","$11-20","$11-20","$11-20","$11-20","$0-5","$11-20","$21-50","$6-10","$21-50","Might or might not","3-5","D-30-39"
"2",2,2,14,1,NA,2,"No","Yes",3,2,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2,17,18,13,4.2,20,1,81,37,35,"Burlington",2,"High School or less","E-60-69","E-Reired","U-$100,000 and more","Stage shows","Carnival","Stage shows","Stage shows","Food,bear,wine","$21-50","$11-20","$11-20","$11-20","$0-5","$11-20","$51-100","$21-50","$21-50","Definitely would not","0-2","E-60-69"
"3",3,3,14,1.5,NA,4,"No","Yes",3,1,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,5,22,6,4,32,2,42,28,14,"Burlington",2,"University graduate","E-60-69","E-Reired","L-$80,000-$99,999","Stage shows","Vendors","Parade","Carnival","Food,bear,wine","$11-20","$0-5","$21-50","$6-10","$0-5","$21-50","$21-50","$21-50","$11-20","Probably would not","0-2","E-60-69"
"4",4,4,14,1.5,"One time",3,"No","No",3,5,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.25,14,16.8,15,3.4,50,2,40,20,85,"Other",3,"Some graduate school or graduate degree","G-50-59","Y-Professional","B-$60,000-$79,999","Stage shows","Parade","Vendors","Food,bear,wine","Carnival","$11-20","$11-20","$11-20","$11-20","$0-5","$21-50","$21-50","$11-20","$51-100","Probably would not","3-5","G-50-59"
"5",5,5,14,0.1,NA,1,"Yes","Yes",3,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,9.8,14,9,2.1,20,4,24,24.6,16,"Hamilton",4,"High School or less","D-30-39","X-Self employed","D-$20,000-$39,999","Stage shows","Vendors","Carnival","Food,bear,wine","Parade","$11-20","$6-10","$11-20","$6-10","$0-5","$11-20","$21-50","$21-50","$11-20","Probably would","3-5","D-30-39"
"6",6,6,14,3,"One time",1,"No","No",3,2,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,12.4,16.4,15,1.8,20,4,21,37,20,"Burlington",6,"High School or less","F-16-19","P-Unskilled labour","B-$60,000-$79,999","Stage shows","Carnival","Food,bear,wine","Vendors","Parade","$11-20","$11-20","$11-20","$11-20","$0-5","$11-20","$21-50","$21-50","$11-20","Probably would","6-8","F-16-19"
"7",7,7,14,0.1,NA,1,"No","No",3,2,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4,3,16.4,14,3.4,20,4,20,10,11,"Burlington",2,"University graduate","D-30-39","M-Sales position","B-$60,000-$79,999","Stage shows","Carnival","Food,bear,wine","Parade","Vendors","$11-20","$0-5","$11-20","$11-20","$0-5","$11-20","$11-20","$6-10","$11-20","Probably would","0-2","D-30-39"
"8",8,8,14,1,NA,3,"Yes","Yes",3,5,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,10.2,17,17,2.4,10,4,10,10,21,"Burlington",4,"Some or graduated from community college","V-20-24","H-Office worker","R-Less than 10,000","Stage shows","Parade","Carnival","Vendors","Food,bear,wine","$21-50","$11-20","$11-20","$11-20","$0-5","$6-10","$6-10","$6-10","$21-50","Probably would","3-5","V-20-24"
"9",9,9,14,0.25,NA,2,"Yes","Yes",2,3,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,11.5,21,14,3.8,30,4,19,10,10,"Burlington",4,"High School or less","F-16-19","O-Student full time","B-$60,000-$79,999","Carnival","Stage shows","Vendors","Food,bear,wine","Parade","$21-50","$11-20","$21-50","$11-20","$0-5","$21-50","$11-20","$6-10","$6-10","Probably would","3-5","F-16-19"
"10",10,10,14,0.5,NA,1,"Yes","Yes",3,4,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6,40,19,24,3.8,40,2,25,5,36,"Other",2,"Some or graduated from community college","E-60-69","B-Not employed outside of home","W-$40,000-$59,999","Stage shows","Food,bear,wine","Carnival","Stage shows","Stage shows","$11-20","$21-50","$11-20","$21-50","$0-5","$21-50","$21-50","$0-5","$21-50","Probably would not","0-2","E-60-69"
